Address,Address (AllAddressesCombined),Bldg Name,Bldg Name (AllAddressesCombined),Bldg No.,Bldg No. (AllAddressesCombined),City,City (AllAddressesCombined),Code,Code (AllAddressesCombined),GIS Comments,State,State (AllAddressesCombined),Zip,Zip (AllAddressesCombined),eFacTS Lat DD,eFacTS Lon DD,LatDiff,Latitude,LongDiff,Longitude,Number of Records,TotalDiff
597 S Upper St,597 S Upper St,Taylor Education Bldg,Taylor Education Bldg,1,1,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.04066549,-84.50730882,-0.00090051,38.041566,-0.00132182,-84.505987,1,0.00042131
110 Scott St,110 Scott St,Scott St Bldg,Scott St Bldg,2,2,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03973468,-84.5076315,0.00010068,38.039634,-0.0009145,-84.506717,1,0.00101518
111 Washington Ave,111 Washington Ave,Research Facility #1,Research Facility #1,3,3,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03557434,-84.50700717,0.00013834,38.035436,-0.00023017,-84.506777,1,0.0003685
598 S Upper St,598 S Upper St,Central Heating Plant #2,Central Heating Plant #2,4,4,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.04109518,-84.50593615,-0.01353582,38.054631,-0.01872714,-84.487209,1,0.00519132
411 S Limestone,411 S Limestone,Frank D. Peterson Service Bldg,Frank D. Peterson Service Bldg,5,5,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.04070074,-84.50566644,-0.00072926,38.04143,-0.00166744,-84.503999,1,0.00093818
101 Avenue of Champions,101 Avenue of Champions,Holmes Hall,Holmes Hall,6,6,Lexington,Lexington,0,0,,KY,KY,40526,40526,38.0416973,-84.50296588,0.0001733,38.041524,0.00086812,-84.503834,1,-0.00069482
103 Avenue of Champions,103 Avenue of Champions,Jewell Hall,Jewell Hall,7,7,Lexington,Lexington,0,0,,KY,KY,40526,40526,38.04105201,-84.5028922,-0.00042899,38.041481,0.0008978,-84.50379,1,-0.00132679
124 Campus Dr,124 Campus Dr,Boyd Hall,Boyd Hall,8,8,Lexington,Lexington,0,0,,KY,KY,40526,40526,38.0411774,-84.5024956,-0.0008096,38.041987,-0.0001366,-84.502359,1,-0.000673
335 South MLK Blvd,335 South MLK Blvd,Patterson Hall,Patterson Hall,9,9,Lexington,Lexington,0,0,,KY,KY,40526,40526,38.04149173,-84.50207601,0.00013473,38.041357,-0.00110001,-84.500976,1,0.00123474
342 S Limestone,342 S Limestone,Hamilton House,Hamilton House,10,10,Lexington,Lexington,0,0,,KY,KY,40508,40508,38.04225691,-84.50220664,0.00043891,38.041818,-0.00048964,-84.501717,1,0.00092855
121 Campus Dr,121 Campus Dr,Keeneland Hall,Keeneland Hall,11,11,Lexington,Lexington,0,0,,KY,KY,40526,40526,38.04174441,-84.50165606,-0.00026159,38.042006,0.00067594,-84.502332,1,-0.00093753
343 S Martin Luther King Blvd,343 S Martin Luther King Blvd,Blazer Hall,Blazer Hall,12,12,Lexington,Lexington,0,0,,KY,KY,40526,40526,38.04101743,-84.50185377,0.00003143,38.040986,-0.00057777,-84.501276,1,0.0006092
2500 Research Park Dr,2500 Research Park Dr,KGS Core Library,KGS Core Library,13,13,Lexington,Lexington,84,84,,KY,KY,40511,40511,38.135354,-84.510116,0.000008,38.135346,-0.000007,-84.510109,1,0.000015
500 Rose St,500 Rose St,Boone Faculty Center,Boone Faculty Center,14,14,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03521407,-84.50272851,0.00010007,38.035114,-0.00053751,-84.502191,1,0.00063758
450 Rose St,450 Rose St,Sturgill (William B.) Development Bldg,Sturgill (William B.) Development Bldg,15,15,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03657909,-84.50110094,-0.00023491,38.036814,0.00008706,-84.501188,1,-0.00032197
140 Huguelet Dr,140 Huguelet Dr,Gatehouse KY Clinic,Gatehouse KY Clinic,16,16,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.03414442,-84.50695018,0.00100642,38.033138,-0.00112718,-84.505823,1,0.0021336
251 Scott St,251 Scott St,Dickey Hall,Dickey Hall,17,17,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.0407988,-84.50807485,0.0011398,38.039659,-0.00137684,-84.506698,1,0.00251664
201 Avenue of Champions,201 Avenue of Champions,Memorial Coliseum,Memorial Coliseum,19,19,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03936057,-84.5005191,-0.00020643,38.039567,0.0011869,-84.501706,1,-0.00139333
531 S Limestone,531 S Limestone,Engineering Transportation Research Garage,Engineering Transportation Research Garage,20,20,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03894589,-84.50787121,0.00051089,38.038435,-0.00072921,-84.507142,1,0.0012401
421 Rose St,421 Rose St,Old Engineers Residence,Old Engineers Residence,21,21,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03712732,-84.50119567,0.00001032,38.037117,-0.00004867,-84.501147,1,0.00005899
465 Rose St,465 Rose St,Fine Arts Guignol Bldg,Fine Arts Guignol Bldg,22,22,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03696785,-84.50205863,0.00004185,38.036926,-0.00009963,-84.501959,1,0.00014149
305 Euclid Ave,305 Euclid Ave,Police (Safety and Security),Police (Safety and Security),23,23,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03770028,-84.49932405,-0.00014372,38.037844,-0.00001005,-84.499314,1,-0.00013367
150 Patterson Dr,150 Patterson Dr,Lafferty Hall,Lafferty Hall,24,24,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03763415,-84.50330817,-0.00050785,38.038142,-0.00025017,-84.503058,1,-0.00025769
140 Patterson Dr,140 Patterson Dr,White Hall Classroom Bldg,White Hall Classroom Bldg,25,25,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03805842,-84.50385008,-0.00005458,38.038113,-0.00007107,-84.503779,1,0.00001649
180 Avenue of Champions,180 Avenue of Champions,Student Center Addition,Student Center Addition,26,26,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03945767,-84.50286199,-0.00037033,38.039828,-0.00082299,-84.502039,1,0.00045265
120 Patterson Dr,120 Patterson Dr,Patterson Office Tower,Patterson Office Tower,27,27,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03864507,-84.50421217,0.00050307,38.038142,-0.00115417,-84.503058,1,0.00165723
408 Administration Dr,408 Administration Dr,Barker Hall,Barker Hall,28,28,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.0394014,-84.50409665,0.00038139,38.03902,0.00098435,-84.505081,1,-0.00060296
102 Avenue of Champions,102 Avenue of Champions,Alumni Gym,Alumni Gym,29,29,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.04066787,-84.5034688,-0.00080213,38.04147,0.0003572,-84.503826,1,-0.00115933
404 Administration Dr,404 Administration Dr,Student Center,Student Center,30,30,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.04016352,-84.50361886,0.00114352,38.03902,0.00146214,-84.505081,1,-0.00031862
406 Administration Dr,406 Administration Dr,Frazee Hall,Frazee Hall,31,31,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.0400601,-84.50414749,0.0010401,38.03902,0.00093351,-84.505081,1,0.00010659
410 Administration Dr,410 Administration Dr,Main (Administration) Bldg,Main (Administration) Bldg,32,32,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03888459,-84.50488348,0.00004959,38.038835,-0.00001748,-84.504866,1,0.00006706
502 Administration Dr,502 Administration Dr,Ezra Gillis Bldg,Ezra Gillis Bldg,33,33,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03855591,-84.50540932,-0.00036709,38.038923,0.00111868,-84.506528,1,-0.00148577
550 S Limestone,550 S Limestone,Carol Martin Gatton Business & Economics Bldg,Carol Martin Gatton Business & Economics Bldg,34,34,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03799758,-84.50650396,0.00009958,38.037898,0.00012404,-84.506628,1,-0.00002446
504 Administration Dr,504 Administration Dr,Miller Hall,Miller Hall,35,35,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03800676,-84.50467373,-0.00094124,38.038948,0.00195727,-84.506631,1,-0.00289851
620 Gladstone Ave,620 Gladstone Ave,Gatehouse Gate 2,Gatehouse Gate 2,36,36,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.035293,-84.505777,0.000313,38.03498,0.000394,-84.506171,1,-0.000081
109 State St,109 State St,109 State St,109 State St,37,37,Lexington,Lexington,0,0,,KY,KY,40503,40503,38.030326,-84.51073,-0.000057,38.030383,-0.000048,-84.510682,1,-0.000009
169 Funkhouser Dr,169 Funkhouser Dr,Engineering Annex (Mining Laboratory),Engineering Annex (Mining Laboratory),38,38,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03710173,-84.5042646,0.00170373,38.035398,0.0004664,-84.504731,1,0.00123733
179 Funkhouser Dr,179 Funkhouser Dr,Margaret I. King Library,Margaret I. King Library,39,39,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03681363,-84.50350972,0.00141563,38.035398,0.00122128,-84.504731,1,0.00019435
471 Rose St,471 Rose St,Maxwell Place,Maxwell Place,40,40,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03616839,-84.5030576,-0.00025261,38.036421,-0.0009946,-84.502063,1,0.000742
175 Funkhouser Dr,175 Funkhouser Dr,Pence Hall,Pence Hall,41,41,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03655932,-84.50407911,0.00116132,38.035398,0.00065189,-84.504731,1,0.00050942
167 Funkhouser Dr,167 Funkhouser Dr,Grehan Journalism Bldg,Grehan Journalism Bldg,42,42,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03681931,-84.50457442,0.00142131,38.035398,0.00015658,-84.504731,1,0.00126473
533 S Limestone,533 S Limestone,Whalen (S. J. Sam) Transportation Bldg,Whalen (S. J. Sam) Transportation Bldg,43,43,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03863424,-84.50748429,0.00025324,38.038381,-0.00032329,-84.507161,1,0.00057653
171 Funkhouser Dr,171 Funkhouser Dr,Kastle Hall,Kastle Hall,44,44,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.0360913,-84.50476206,0.0006933,38.035398,-0.00003106,-84.504731,1,0.00072436
155 Graham Ave,155 Graham Ave,McVey Hall,McVey Hall,45,45,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03644072,-84.50515443,0.00099572,38.035445,0.00053357,-84.505688,1,0.00046215
512 Administration Dr,512 Administration Dr,F. Paul Anderson Tower,F. Paul Anderson Tower,46,46,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03740377,-84.50571348,-0.00004123,38.037445,-0.00031548,-84.505398,1,0.00027425
606 S Limestone,606 S Limestone,C. W. Mathews Bldg,C. W. Mathews Bldg,47,47,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03756746,-84.5068612,0.00005946,38.037508,0.0005138,-84.507375,1,-0.00045434
620 S Limestone,620 S Limestone,Law Building,Law Building,48,48,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.0365534,-84.5072233,0.00006439,38.036489,0.0000977,-84.507321,1,-0.0000333
610 S Limestone,610 S Limestone,Memorial Hall,Memorial Hall,49,49,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03687378,-84.50643619,-0.00052822,38.037402,0.00097681,-84.507413,1,-0.00150502
135 Graham Ave,135 Graham Ave,Erikson Hall,Erikson Hall,50,50,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.0363298,-84.50641923,0.00035279,38.035977,-0.00010223,-84.506317,1,0.00045502
120 Graham Ave,120 Graham Ave,Mineral Industries Bldg,Mineral Industries Bldg,51,51,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03615685,-84.50696799,0.00056585,38.035591,-0.00106799,-84.5059,1,0.00163383
140 Graham Ave,140 Graham Ave,Terrell Civil Engineering Bldg,Terrell Civil Engineering Bldg,52,52,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.0358917,-84.50675923,0.0000477,38.035844,0.00000777,-84.506767,1,0.00003993
121 Washington Ave,121 Washington Ave,Slone Research Bldg,Slone Research Bldg,53,53,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.03535818,-84.50635148,-0.00008782,38.035446,0.00094652,-84.507298,1,-0.00103434
160 Funkhouser Dr,160 Funkhouser Dr,Funkhouser Bldg,Funkhouser Bldg,54,54,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03575472,-84.50567161,0.00035672,38.035398,-0.00094061,-84.504731,1,0.00129733
505 Rose St,505 Rose St,Chemistry-Physics Building,Chemistry-Physics Building,55,55,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03565332,-84.50387903,0.00016932,38.035484,-0.00039003,-84.503489,1,0.00055936
168 Funkhouser Dr,168 Funkhouser Dr,Breckinridge Hall,Breckinridge Hall,56,56,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.0350558,-84.50521166,-0.0003422,38.035398,-0.00048066,-84.504731,1,0.00013846
172 Funkhouser Dr,172 Funkhouser Dr,Kinkead Hall,Kinkead Hall,57,57,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03499447,-84.50482184,-0.00040353,38.035398,-0.00009084,-84.504731,1,-0.00031268
545 Rose St,545 Rose St,Bradley Hall,Bradley Hall,58,58,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03468171,-84.50479127,0.00014471,38.034537,-0.00032127,-84.50447,1,0.00046598
151 Washington Ave,151 Washington Ave,Bowman Hall,Bowman Hall,59,59,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03470287,-84.50524041,-0.00002213,38.034725,0.00004759,-84.505288,1,-0.00006973
150 Washington Ave,150 Washington Ave,Tobacco Research Laboratory,Tobacco Research Laboratory,61,61,Lexington,Lexington,0,0,,KY,KY,40546,40546,38.03447881,-84.50604369,-0.00042419,38.034903,-0.00000469,-84.506039,1,-0.0004195
1685 Russell Cave Road,1685 Russell Cave Road,Shed Ecological Research,Shed Ecological Research,63,63,Lexington,Lexington,0,0,,KY,KY,40511,40511,,,,38.080452,,-84.475511,1,
115 Huguelet Dr,115 Huguelet Dr,Scovell Hall,Scovell Hall,64,64,Lexington,Lexington,0,0,,KY,KY,40546,40546,38.03495672,-84.50722927,0.00181871,38.033138,-0.00140627,-84.505823,1,0.00322498
150 Huguelet Dr,150 Huguelet Dr,Small Animal Lab,Small Animal Lab,65,65,Lexington,Lexington,0,0,,KY,KY,40546,40546,38.03399533,-84.50664067,0.00085733,38.033138,-0.00081767,-84.505823,1,0.001675
152 Huguelet Dr,152 Huguelet Dr,Agronomy Head House & Greenhouses 1 & 2,Agronomy Head House & Greenhouses 1 & 2,66,66,Lexington,Lexington,0,0,,KY,KY,40546,40546,38.03375741,-84.50671927,0.00061941,38.033138,-0.00089627,-84.505823,1,0.00151568
456 Rose St,456 Rose St,Chi Omega Sorority,Chi Omega Sorority,67,67,Lexington,Lexington,0,0,,KY,KY,40508,40508,38.03621276,-84.50144443,-0.00024724,38.03646,0.00024457,-84.501689,1,-0.00049181
468 Rose St,468 Rose St,Delta Delta Delta Sorority,Delta Delta Delta Sorority,68,68,Lexington,Lexington,0,0,,KY,KY,40508,40508,38.03586923,-84.50188146,-0.00032877,38.036198,0.00017855,-84.50206,1,-0.00050731
476 Rose St,476 Rose St,Alpha Delta Pi Sorority,Alpha Delta Pi Sorority,69,69,Lexington,Lexington,0,0,,KY,KY,40508,40508,38.03556405,-84.50222876,-0.00050295,38.036067,0.00001425,-84.502243,1,-0.0005172
600 Rose St,600 Rose St,Wenner-Gren Research Lab,Wenner-Gren Research Lab,70,70,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.0336327,-84.50487521,-0.0004783,38.034111,0.00015579,-84.505031,1,-0.00063409
225 Donovan Dr,225 Donovan Dr,Food Storage Building,Food Storage Building,71,71,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03324961,-84.5042903,-0.00015639,38.033406,0.0006467,-84.504937,1,-0.00080309
680 Rose St,680 Rose St,Donovan Hall,Donovan Hall,72,72,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.0331515,-84.50519468,-0.00031151,38.033463,0.00072932,-84.505924,1,-0.00104082
730 Rose St,730 Rose St,Cooper Forestry (Thomas Poe) Bldg,Cooper Forestry (Thomas Poe) Bldg,73,73,Lexington,Lexington,0,0,,KY,KY,40546,40546,38.03276128,-84.50580847,-0.00018472,38.032946,0.00089553,-84.506704,1,-0.00108025
698 Sports Center Dr,698 Sports Center Dr,Shively Track & Field Stadium,Shively Track & Field Stadium,74,74,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.028384,-84.497668,0.00134,38.027044,0.00251,-84.500178,1,-0.00117
360 Huguelet Dr,360 Huguelet Dr,Kelley Building,Kelley Building,75,75,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.03140163,-84.50468776,-0.00193437,38.033336,0.00138824,-84.506076,1,-0.00332261
1081 Veterans Dr,1081 Veterans Dr,Dimmock Animal Pathology,Dimmock Animal Pathology,76,76,Lexington,Lexington,0,0,,KY,KY,40546,40546,38.03126941,-84.50538966,0.00233141,38.028938,0.00092634,-84.506316,1,0.00140508
653 Maxwelton Ct.,653 Maxwelton Ct.,653 Maxwelton Ct.,653 Maxwelton Ct.,77,77,Lexington,Lexington,0,0,,KY,KY,40508,40508,38.036251,-84.509576,0.000003,38.036248,0.000005,-84.509581,1,-0.000002
1096 Veterans Dr,1096 Veterans Dr,Med Center Annex #5,Med Center Annex #5,78,78,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.03072065,-84.50503515,0.00178265,38.028938,0.00128085,-84.506316,1,0.0005018
361 Huguelet Dr,361 Huguelet Dr,Central Residence Hall II,Central Residence Hall II,79,79,Lexington,Lexington,1,1,,KY,KY,40506,40506,38.031948,-84.503954,0.000214,38.031734,0.000207,-84.504161,1,0.000007
340 Hilltop Ave,340 Hilltop Ave,Central Residence Hall I,Central Residence Hall I,80,80,Lexington,Lexington,1,1,,KY,KY,40506,40506,38.03242,-84.503284,-0.000129,38.032549,-0.000267,-84.503017,1,0.000138
300 Alumni Dr,300 Alumni Dr,Cooker Trailer Storage,Cooker Trailer Storage,81,81,Lexington,Lexington,0,0,,KY,KY,40503,40503,38.033018,-84.504836,0.014956,38.018062,0.002682,-84.507518,1,0.012274
725 Rose St,725 Rose St,Multi-Disciplinary Science Building (MDS),Multi-Disciplinary Science Building (MDS),82,82,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.0331355,-84.50706884,0.00004549,38.03309,-0.00018283,-84.506886,1,0.00022833
453 Columbia Ave,453 Columbia Ave,453 Columbia Ave,453 Columbia Ave,83,83,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.032833,-84.499246,-0.000007,38.03284,-0.00002,-84.499226,1,0.000013
,750 Rose St,Gatehouse Roach Bldg,Gatehouse Roach Bldg,84,84,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.032567,-84.50633,0.000111,38.032456,0.001073,-84.507403,1,-0.000962
151 Hospital Dr,151 Hospital Dr,Medical Center Heating and Cooling Plant,Medical Center Heating and Cooling Plant,85,85,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.02990137,-84.5077484,-0.00169863,38.0316,0.0004656,-84.508214,1,-0.00216423
1100 Veterans Dr,1100 Veterans Dr,College of Medicine Office Bldg,College of Medicine Office Bldg,86,86,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.03011828,-84.50531625,0.00118028,38.028938,0.00099975,-84.506316,1,0.00018053
1530 College Way,1530 College Way,Medical Center Storage Facility,Medical Center Storage Facility,87,87,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.01966295,-84.50224417,-0.00170605,38.021369,-0.00017517,-84.502069,1,-0.00153088
1505 College Way,1505 College Way,Agriculture Motor Pool,Agriculture Motor Pool,88,88,Lexington,Lexington,0,0,,KY,KY,40546,40546,38.0216038,-84.50241102,-0.0000042,38.021608,-0.00024902,-84.502162,1,0.00024483
195 Hospital Dr,195 Hospital Dr,Cooling Plant #1,Cooling Plant #1,89,89,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.02896325,-84.50579372,-0.00263675,38.0316,0.00242028,-84.508214,1,-0.00505703
236 Bolivar Ave,236 Bolivar Ave,University Lofts,University Lofts,90,90,Lexington,Lexington,0,0,,KY,KY,40508,40508,38.04235178,-84.50641987,-0.00019022,38.042542,0.00025513,-84.506675,1,-0.00044534
1100 S Limestone,1100 S Limestone,Agriculture Science Center North,Agriculture Science Center North,91,91,Lexington,Lexington,0,0,,KY,KY,40546,40546,38.02873386,-84.50920503,-0.00117714,38.029911,0.00081897,-84.510024,1,-0.0019961
150 Hospital Dr,150 Hospital Dr,Seed House,Seed House,92,92,Lexington,Lexington,0,0,,KY,KY,40546,40546,38.028613,-84.5081855,-0.002987,38.0316,0.0000285,-84.508214,1,-0.00301549
750 Rose St,750 Rose St,Ben Roach Cancer Care Facility,Ben Roach Cancer Care Facility,93,93,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.03213012,-84.50669336,-0.00032588,38.032456,0.00070964,-84.507403,1,-0.00103551
1312 Nicholasville Rd,1312 Nicholasville Rd,Cooper House,Cooper House,94,94,Lexington,Lexington,0,0,,KY,KY,40546,40546,38.02721187,-84.51043913,-0.00074713,38.027959,0.00026887,-84.510708,1,-0.001016
344 S Martin Luther King Blvd,344 S. Martin Luther King Blvd.,Champions Court I,Champions Court I,95,95,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.040339,-84.501415,-0.000959,38.041298,-0.000442,-84.500973,1,-0.000517
181 Avenue of Champions,181 Avenue of Champions,Coffee Shop / Study Space - Champions I - proposed,Coffee Shop / Study Space - Champions I - proposed,0095A,0095A,Lexington,Lexington,0,0,,KY,KY,40506,40506,,,,38.039847,,-84.502011,1,
744 Rose St,744 Rose St,Combs Cancer Research Center,Combs Cancer Research Center,96,96,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.03176685,-84.50591041,-0.00068915,38.032456,0.00149259,-84.507403,1,-0.00218175
1451 University Dr,1451 University Dr,E. S. Goodbarn,E. S. Goodbarn,97,97,Lexington,Lexington,0,0,,KY,KY,40546,40546,38.0247961,-84.50803607,0.0029491,38.021847,0.00142493,-84.509461,1,0.00152417
740 Rose St,740 Rose St,Whitney-Hendrickson Cancer Facility for Women (Pavilion WH),Whitney-Hendrickson Cancer Facility for Women (Pavilion WH),98,98,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.03201638,-84.50557214,-0.00043962,38.032456,0.00183086,-84.507403,1,-0.00227049
1400 Nicholasville Rd,1400 Nicholasville Rd,Gluck Equine Research Bldg,Gluck Equine Research Bldg,99,99,Lexington,Lexington,0,0,,KY,KY,40546,40546,38.02510622,-84.51081793,-0.00056778,38.025674,-0.00000093,-84.510817,1,-0.00056685
325 Huguelet Dr,325 Huguelet Dr,Haggin Hall,Haggin Hall,100,100,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.032671,-84.504238,0.000937,38.031734,-0.000077,-84.504161,1,0.001014
349 Scott St,349 Scott St,Reynolds Warehouse #1,Reynolds Warehouse #1,101,101,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.04199596,-84.50875109,0.00212296,38.039873,-0.00162009,-84.507131,1,0.00374305
351 Scott St,351 Scott St,Reynolds Warehouse #2,Reynolds Warehouse #2,102,102,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.04231994,-84.50856367,0.00034894,38.041971,0.00022633,-84.50879,1,0.0001226
347 Scott St,347 Scott St,Reynolds Warehouse #3,Reynolds Warehouse #3,103,103,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.04171337,-84.50919159,0.00003937,38.041674,-0.00011759,-84.509074,1,0.00015696
720 Woodland Ave,720 Woodland Ave,Woodland Glen I,Woodland Glen I,104,104,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.030977,-84.500319,-0.00031,38.031287,0.000251,-84.50057,1,-0.000561
1435 Nicholasville Rd,1435 Nicholasville Rd,Commonwealth Village #2,Commonwealth Village #2,105,105,Lexington,Lexington,0,0,,KY,KY,40503,40503,38.02582626,-84.51203152,0.00020526,38.025621,-0.00046352,-84.511568,1,0.00066878
1435 Nicholasville Rd,1435 Nicholasville Rd,Commonwealth Village #1,Commonwealth Village #1,106,106,Lexington,Lexington,0,0,,KY,KY,40503,40503,38.02627057,-84.5129963,0.00064957,38.025621,-0.0014283,-84.511568,1,0.00207787
504 Rose St,504 Rose St,Mining & Minerals Research Bldg,Mining & Minerals Research Bldg,107,107,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.0346767,-84.50319805,-0.0001723,38.034849,0.00016895,-84.503367,1,-0.00034125
143 Graham Ave,143 Graham Ave,Robotics Facility,Robotics Facility,108,108,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03703124,-84.50551016,0.00153524,38.035496,0.00023584,-84.505746,1,0.0012994
550 Wildcat Ct,550 Wildcat Ct,Wendell & Vickie Bell Soccer Complex,Wendell & Vickie Bell Soccer Complex,109,109,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.017454,-84.500342,-0.001338,38.018792,0.00083,-84.501172,1,-0.002168
704 Sports Center Dr,704 Sports Center Dr,Maintenance Bldg (Athletics),Maintenance Bldg (Athletics),110,110,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.02727748,-84.49943716,0.00023348,38.027044,0.00074084,-84.500178,1,-0.00050737
712 Sports Center Dr,712 Sports Center Dr,Shively Sports Center,Shively Sports Center,113,113,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.02707369,-84.500046,0.00002969,38.027044,0.000132,-84.500178,1,-0.00010231
Hedger Ln,Hedger Ln,Seigler Hall (UAV Shed),Seigler Hall (UAV Shed),116,116,Lexington,Lexington,0,0,,KY,KY,40516,40516,,,,38.052239,,-84.299677,1,
570 Wildcat Ct,570 Wildcat Ct,Soccer Filming Tower,Soccer Filming Tower,117,117,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.01777664,-84.50143727,-0.00101536,38.018792,-0.00026527,-84.501172,1,-0.0007501
454 Hilltop Ave,454 Hilltop Ave,Fraternity House Storage,Fraternity House Storage,118,118,Lexington,Lexington,0,0,,KY,KY,40508,40508,38.0306378,-84.50191827,-0.0015692,38.032207,0.00072073,-84.502639,1,-0.00228992
400 Rose St,400 Rose St,Helen King Alumni Building,Helen King Alumni Building,119,119,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03740154,-84.49989206,-0.00011946,38.037521,-0.00007506,-84.499817,1,-0.0000444
650 Woodland Ave,650 Woodland Ave,Woodland Glen II,Woodland Glen II,120,120,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.031499,-84.499544,-0.000616,38.032115,-0.000141,-84.499403,1,-0.000475
422 Rose Ln,422 Rose Ln,Sigma Nu Fraternity,Sigma Nu Fraternity,121,121,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03512356,-84.49937558,0.00002456,38.035099,0.00020042,-84.499576,1,-0.00017586
450 Pennsylvania Ave,450 Pennsylvania Ave,Delta Gamma Sorority,Delta Gamma Sorority,122,122,Lexington,Lexington,0,0,,KY,KY,40508,40508,38.03442471,-84.50082034,0.00035371,38.034071,-0.00130234,-84.499518,1,0.00165605
326 S Martin Luther King Blvd,326 S Martin Luther King Blvd,Champions Court II,Champions Court II,123,123,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.041043,-84.500517,-0.000613,38.041656,0.000035,-84.500552,1,-0.000648
319 Columbia Ter,319 Columbia Ter,Delta Zeta Sorority,Delta Zeta Sorority,124,124,Lexington,Lexington,0,0,,KY,KY,40508,40508,38.03532493,-84.50185832,-0.00010707,38.035432,0.00015468,-84.502013,1,-0.00026175
